99105,46.8591,-118.1611
99169,47.1315,-118.3958
99341,46.956,-118.7061
99344,46.8527,-118.9932
99371,46.8209,-118.2862
99401,46.1285,-117.0883
99402,46.1343,-117.0015
99403,46.3946,-117.0645
99320,46.2806,-119.4913
99336,46.2109,-119.168
99337,46.1814,-119.1383
99338,46.156,-119.264
99345,45.9911,-119.7559
99346,45.9301,-119.4023
99350,46.2232,-119.771
99352,46.2522,-119.288
99353,46.3153,-119.3714
99354,46.3257,-119.3067
98801,47.4253,-120.3273
98807,47.4235,-120.3103
98811,47.7373,-120.369
98815,47.5173,-120.5033
98816,47.8483,-120.0273
98817,47.8015,-119.9859
98821,47.5412,-120.5609
98822,47.7057,-120.276
98826,47.6438,-120.6748
98828,47.3553,-120.2086
98831,47.8958,-120.149
98836,47.4852,-120.4158
98847,47.5458,-120.5961
98852,48.3093,-120.6565
98305,48.0673,-124.3054
98324,48.0906,-123.1721
98326,48.2255,-124.2015
98331,47.9287,-124.3989
98343,48.1362,-123.7354
98350,47.9052,-124.6261
98357,48.328,-124.6151
98362,48.1065,-123.4384
98363,48.0557,-123.9178
98381,48.3032,-124.4685
98382,48.0881,-123.1198
98601,45.9195,-122.4574
98604,45.7907,-122.5318
98606,45.7304,-122.4843
98607,45.6058,-122.4142
98622,45.8248,-122.4912
98629,45.8806,-122.624
98642,45.7846,-122.6934
98660,45.6418,-122.6801
98661,45.6418,-122.6251
98662,45.6914,-122.5805
98663,45.6514,-122.6604
98664,45.6231,-122.5767
98665,45.6892,-122.6616
98666,45.6387,-122.6615
98668,45.6387,-122.6615
98671,45.5959,-122.3104
98675,45.8622,-122.4275
98682,45.6644,-122.5212
98683,45.6032,-122.5133
98684,45.6359,-122.5155
98685,45.7162,-122.6899
98686,45.712,-122.6322
98687,45.6387,-122.6615
99328,46.3075,-117.9738
99359,46.5128,-118.1024
98581,46.3752,-123.0431
98603,45.9952,-122.4677
98609,46.0715,-122.8648
98611,46.2783,-122.9139
98616,46.0515,-122.2995
98625,46.0112,-122.8166
98626,46.1485,-122.887
98632,46.1514,-122.9634
98645,46.3163,-122.7649
98649,46.2956,-122.6477
98674,45.9219,-122.7126
98802,47.4186,-120.2731
98813,48.0082,-119.6712
98830,47.9021,-119.4053
98843,47.6969,-120.1721
98845,47.419,-119.9145
98850,47.3706,-120.1378
98858,47.6295,-119.9887
99107,48.8427,-118.1828
99118,48.9108,-118.6452
99121,48.9725,-118.4884
99138,48.2924,-118.3552
99140,48.0236,-118.6547
99146,48.9753,-118.2208
99150,48.811,-118.6044
99160,48.866,-118.2028
99166,48.6704,-118.6999
99301,46.2492,-119.1044
99302,46.235,-119.0943
